Term,UMLS_CUI,SemanticTypes,SemanticTypesCode
توبروزیته ی بزرگ هومروس راست,C4545690,"Body Part, Organ, or Organ Component",23
توراکس,C0817096,Body Location or Region,29
تیبیا,C0040184,"Body Part, Organ, or Organ Component",23
تیبیای چپ,C0817322,"Body Part, Organ, or Organ Component",23
تیبیای راست,C0817321,"Body Part, Organ, or Organ Component",23
تیرویید,C0040132,"Body Part, Organ, or Organ Component",23
تیروئید,C0040132,"Body Part, Organ, or Organ Component",23
دست,C0230368,"Body Part, Organ, or Organ Component",23
دست چپ,C0230369,"Body Part, Organ, or Organ Component",23
دست راست,C0230370,"Body Part, Organ, or Organ Component",23
دنده نه,C1280238,"Body Part, Organ, or Organ Component",23
دنده ۹,C1280238,"Body Part, Organ, or Organ Component",23
دنده ۹ چپ,C0503112,"Body Part, Organ, or Organ Component",23
دنده ۹ راست,C0503113,"Body Part, Organ, or Organ Component",23
دنده نهم,C1280238,"Body Part, Organ, or Organ Component",23
دنده نهم چپ,C0503112,"Body Part, Organ, or Organ Component",23
دنده نهم راست,C0503113,"Body Part, Organ, or Organ Component",23
دیافیز تیبیا,C0828704,Body Location or Region,29
دیافیز فمور ,C0824835,"Body Part, Organ, or Organ Component",23
دیافیز فمور چپ,C0824836,"Body Part, Organ, or Organ Component",23
دیافیز فمور راست,C0824837,"Body Part, Organ, or Organ Component",23
دیافیز فیبولای,C0825609,"Body Part, Organ, or Organ Component",23
دیافیز فیبولا,C0825609,"Body Part, Organ, or Organ Component",23
دیافیز فیبولای چپ,C0825610,"Body Part, Organ, or Organ Component",23
دیافیز فیبولای راست,C0825611,"Body Part, Organ, or Organ Component",23
دیافیز هومروس,C0934873,"Body Part, Organ, or Organ Component",23
دیافیز هومروس چپ,C0934874,"Body Part, Organ, or Organ Component",23
دیافیز هومروس راست,C0934875,"Body Part, Organ, or Organ Component",23
دیستال اولنای,C4304511,"Body Part, Organ, or Organ Component",23
دیستال اولنای چپ,C4304512,"Body Part, Organ, or Organ Component",23
دیستال اولنای راست,C4304513,"Body Part, Organ, or Organ Component",23
دیستال رادیوس,C0588207,"Body Part, Organ, or Organ Component",23
دیستال رادیوس راست,C5192707,"Body Part, Organ, or Organ Component",23
دیستال رادیوس چپ,C5192708,"Body Part, Organ, or Organ Component",23
دیستال ساق,C2952671,Body Location or Region,29
دیستال هومروس,C4706918,"Body Part, Organ, or Organ Component",23
دیستال هومروس چپ,C4706919,"Body Part, Organ, or Organ Component",23
دیستال هومروس راست,C4706920,"Body Part, Organ, or Organ Component",23
رادیوس,C0816594,"Body Part, Organ, or Organ Component",23
رادیوس چپ,C0816595,"Body Part, Organ, or Organ Component",23
رادیوس راست,C0816596,"Body Part, Organ, or Organ Component",23
راموس,C1305625,"Body Part, Organ, or Organ Component",23
راموس تحتانی پوبیس,C1305626,"Body Part, Organ, or Organ Component",23
راموس تحتانی پوبیس راست,C0735758,"Body Part, Organ, or Organ Component",23
راموس تحتانی پوبیس چپ,C0735759,"Body Part, Organ, or Organ Component",23
ران چپ,C1279547,"Body Part, Organ, or Organ Component",23
ران راست,C1279548,"Body Part, Organ, or Organ Component",23
زائده استایلوئید اولنای چپ,C0816731,"Body Part, Organ, or Organ Component",23
زائده ی استایلوئید اولنای چپ,C0816731,"Body Part, Organ, or Organ Component",23
زائده استایلوئید اولنای راست,C0816732,"Body Part, Organ, or Organ Component",23
زائده ی استایلوئید اولنای راست,C0816732,"Body Part, Organ, or Organ Component",23
زانو,C0022742,"Body Part, Organ, or Organ Component",23
زانوی چپ,C1279572,"Body Part, Organ, or Organ Component",23
زانوی راست,C0230431,"Body Part, Organ, or Organ Component",23
زنجیره ی لنفاوی,C1179440,"Body Part, Organ, or Organ Component",23
زنجیره لنفاوی,C1179440,"Body Part, Organ, or Organ Component",23
زاویه ی جنبی,C0230151,Body Location or Region,29
زوایای جنبی,C0230151,Body Location or Region,29
ساعد,C0016536,"Body Part, Organ, or Organ Component",23
پا,C1140620,"Body Part, Organ, or Organ Component",23
ساق پا,C1140621,"Body Part, Organ, or Organ Component",23
ساق پای چپ,C0230441,"Body Part, Organ, or Organ Component",23
ساق پای راست,C0230442,"Body Part, Organ, or Organ Component",23
ستون فقرات,C0037949,"Body Part, Organ, or Organ Component",23
ستون فقرات گردن,C0581619,"Body Part, Organ, or Organ Component",23
سر فمور,C0015813,"Body Part, Organ, or Organ Component",23
سر فمور چپ,C0926822,"Body Part, Organ, or Organ Component",23
سر فمور راست,C0926821,"Body Part, Organ, or Organ Component",23
سر فیبولا,C1279122,"Body Part, Organ, or Organ Component",23
سر فیبولای,C1279122,"Body Part, Organ, or Organ Component",23
سر فیبولای راست,C2337014,"Body Part, Organ, or Organ Component",23
